"Country or Area","Year","Value"
"Czech Republic","2016","130348.689520426"
"Czech Republic","2015","128419.117573375"
"Czech Republic","2014","127367.584409897"
"Czech Republic","2013","129285.774527977"
"Czech Republic","2012","134371.949251521"
"Czech Republic","2011","138480.322259036"
"Czech Republic","2010","140535.274020963"
"Czech Republic","2009","138034.773910369"
"Czech Republic","2008","146435.335290103"
"Czech Republic","2007","151173.609647245"
"Czech Republic","2006","149486.884221022"
"Czech Republic","2005","148044.875441183"
"Czech Republic","2004","150184.078663677"
"Czech Republic","2003","149381.454705007"
"Czech Republic","2002","146163.487883438"
"Czech Republic","2001","149837.352044364"
"Czech Republic","2000","150160.253633126"
"Czech Republic","1999","140750.985639611"
"Czech Republic","1998","150411.781255206"
"Czech Republic","1997","157040.363282178"
"Czech Republic","1996","161229.599318541"
"Czech Republic","1995","158867.501899008"
"Czech Republic","1994","158452.92986348"
"Czech Republic","1993","166245.214269566"
"Czech Republic","1992","174157.460821072"
"Czech Republic","1991","180785.917760709"
"Czech Republic","1990","199597.370863284"
"Denmark","2016","51906.4567245748"
"Denmark","2015","49920.3445370313"
"Denmark","2014","52444.0257894162"
"Denmark","2013","56610.1106266519"
"Denmark","2012","54867.781956536"
"Denmark","2011","59655.5702363663"
"Denmark","2010","64951.3500822457"
"Denmark","2009","64361.6899219577"
"Denmark","2008","67259.4672475633"
"Denmark","2007","70951.2622736164"
"Denmark","2006","75562.3104171041"
"Denmark","2005","67839.2579490869"
"Denmark","2004","72288.8959243974"
"Denmark","2003","78435.1872120731"
"Denmark","2002","73386.2939849679"
"Denmark","2001","73884.8895883945"
"Denmark","2000","72184.1365020153"
"Denmark","1999","76527.9471709147"
"Denmark","1998","79044.1211498426"
"Denmark","1997","83104.4974569776"
"Denmark","1996","92632.4701234107"
"Denmark","1995","79480.1825395463"
"Denmark","1994","82439.4843066147"
"Denmark","1993","78592.3662582639"
"Denmark","1992","76427.954336235"
"Denmark","1991","82438.9512998981"
"Denmark","1990","71761.621394606"
"European Union","2016","4292742.04762719"
"European Union","2015","4319487.38903039"
"European Union","2014","4290562.97326417"
"European Union","2013","4461780.39090355"
"European Union","2012","4556753.31338624"
"European Union","2011","4619536.94979826"
"European Union","2010","4777435.80691659"
"European Union","2009","4672501.54418719"
"European Union","2008","5042449.18968707"
"European Union","2007","5159748.5796035"
"European Union","2006","5207819.16093208"
"European Union","2005","5220378.73768925"
"European Union","2004","5258952.2379434"
"European Union","2003","5259394.35970127"
"European Union","2002","5175819.93398257"
"European Union","2001","5220253.32540766"
"European Union","2000","5162446.23688639"
"European Union","1999","5154777.82977301"
"European Union","1998","5263072.67277838"
"European Union","1997","5309353.1924959"
"European Union","1996","5410100.4872856"
"European Union","1995","5301230.71145422"
"European Union","1994","5247101.47209119"
"European Union","1993","5276365.49335868"
"European Union","1992","5376571.58884032"
"European Union","1991","5552642.83845029"
"European Union","1990","5650360.78283745"
"Finland","2016","58789.5938094689"
"Finland","2015","55399.8214330762"
"Finland","2014","58908.9649668827"
"Finland","2013","63061.5824870327"
"Finland","2012","62325.2513031357"
"Finland","2011","67798.7367315964"
"Finland","2010","75531.6601617404"
"Finland","2009","67684.0211606203"
"Finland","2008","71346.2631510809"
"Finland","2007","79403.3917388754"
"Finland","2006","81052.1434712715"
"Finland","2005","69773.4045603403"
"Finland","2004","81799.4707308009"
"Finland","2003","85544.1168238352"
"Finland","2002","77974.4264403935"
"Finland","2001","75522.4781519211"
"Finland","2000","70149.2485730847"
"Finland","1999","72064.6960800385"
"Finland","1998","72714.9326513892"
"Finland","1997","76372.6517904245"
"Finland","1996","77766.7297085033"
"Finland","1995","71936.3558009343"
"Finland","1994","75439.5220886725"
"Finland","1993","69874.3491527679"
"Finland","1992","67640.8444268412"
"Finland","1991","69077.1471509313"
"Finland","1990","71309.6431440975"
"Japan","2016","1306670.1753344"
"Japan","2015","1323164.08858762"
"Japan","2014","1361792.41311839"
"Japan","2013","1409590.14459361"
"Japan","2012","1395306.2879769"
"Japan","2011","1353241.22055183"
"Japan","2010","1302657.88565699"
"Japan","2009","1248538.03925831"
"Japan","2008","1321148.1136226"
"Japan","2007","1393682.58859431"
"Japan","2006","1356000.10199743"
"Japan","2005","1378504.21186315"
"Japan","2004","1371866.81917521"
"Japan","2003","1379734.9503111"
"Japan","2002","1373963.16772231"
"Japan","2001","1350361.66905424"
"Japan","2000","1376376.91088875"
"Japan","1999","1355845.22862957"
"Japan","1998","1332799.16896828"
"Japan","1997","1381666.03560859"
"Japan","1996","1389260.62596326"
"Japan","1995","1376709.30424914"
"Japan","1994","1355430.30314784"
"Japan","1993","1291055.42307069"
"Japan","1992","1298496.4519979"
"Japan","1991","1285865.89152984"
"Japan","1990","1272064.51921585"
"Latvia","2016","11306.3858276348"
"Latvia","2015","11334.6624436431"
"Latvia","2014","11253.4052465666"
"Latvia","2013","11313.355896409"
"Latvia","2012","11403.3136966516"
"Latvia","2011","11560.722161014"
"Latvia","2010","12389.6787098682"
"Latvia","2009","11203.3699926325"
"Latvia","2008","11940.7209763189"
"Latvia","2007","12410.0104106012"
"Latvia","2006","11955.5471215836"
"Latvia","2005","11457.2305948503"
"Latvia","2004","11256.3607590182"
"Latvia","2003","11271.5718824542"
"Latvia","2002","11109.8095333037"
"Latvia","2001","11124.8104149875"
"Latvia","2000","10537.3793570881"
"Latvia","1999","11121.4861806468"
"Latvia","1998","11916.4197410495"
"Latvia","1997","12429.0237958859"
"Latvia","1996","12996.6066405563"
"Latvia","1995","12960.2211413735"
"Latvia","1994","14377.5677601774"
"Latvia","1993","16282.9805926083"
"Latvia","1992","19713.916474344"
"Latvia","1991","24489.586388554"
"Latvia","1990","26469.9588130193"
"Netherlands","2016","195241.559892005"
"Netherlands","2015","194778.847425342"
"Netherlands","2014","186522.76016344"
"Netherlands","2013","194450.620395873"
"Netherlands","2012","194502.076868423"
"Netherlands","2011","199316.551195896"
"Netherlands","2010","213427.630765215"
"Netherlands","2009","201415.801572015"
"Netherlands","2008","207143.403411533"
"Netherlands","2007","207781.600314701"
"Netherlands","2006","209287.536383197"
"Netherlands","2005","214356.954134232"
"Netherlands","2004","219955.084173834"
"Netherlands","2003","218563.224954331"
"Netherlands","2002","218129.93682126"
"Netherlands","2001","219876.25213535"
"Netherlands","2000","219409.90157784"
"Netherlands","1999","221241.469095746"
"Netherlands","1998","234607.593782716"
"Netherlands","1997","234520.422470909"
"Netherlands","1996","242336.658209335"
"Netherlands","1995","231281.948611906"
"Netherlands","1994","231089.666641266"
"Netherlands","1993","230236.735180192"
"Netherlands","1992","229554.247408601"
"Netherlands","1991","228863.978704425"
"Netherlands","1990","221287.123607159"
"Portugal","2016","67775.5638493513"
"Portugal","2015","69577.3795898843"
"Portugal","2014","65242.2488868772"
"Portugal","2013","65299.5312285116"
"Portugal","2012","67131.3850319639"
"Portugal","2011","68996.4576415708"
"Portugal","2010","70140.4709292402"
"Portugal","2009","74133.3469282678"
"Portugal","2008","77308.9775330171"
"Portugal","2007","79998.8659652752"
"Portugal","2006","82270.5105237392"
"Portugal","2005","87015.2820069973"
"Portugal","2004","85100.0242522692"
"Portugal","2003","81882.395251162"
"Portugal","2002","87018.5854878309"
"Portugal","2001","82971.3302468687"
"Portugal","2000","83362.3995756523"
"Portugal","1999","84202.8376462548"
"Portugal","1998","76234.7079372962"
"Portugal","1997","71392.6050685102"
"Portugal","1996","68042.000360577"
"Portugal","1995","70448.3108025109"
"Portugal","1994","65825.3110142216"
"Portugal","1993","64769.6729839935"
"Portugal","1992","66114.2289777858"
"Portugal","1991","61720.3381027237"
"Portugal","1990","59931.4910914028"
"Switzerland","2016","48306.630739827"
"Switzerland","2015","47922.4088662897"
"Switzerland","2014","48471.3533299129"
"Switzerland","2013","52394.1775677023"
"Switzerland","2012","51550.1345497802"
"Switzerland","2011","50201.8766804322"
"Switzerland","2010","54253.8643196593"
"Switzerland","2009","52674.6163851833"
"Switzerland","2008","54023.5991788151"
"Switzerland","2007","52497.0160969592"
"Switzerland","2006","54422.4590236731"
"Switzerland","2005","54744.2687753123"
"Switzerland","2004","54144.2434171133"
"Switzerland","2003","53519.0573728097"
"Switzerland","2002","52352.846540605"
"Switzerland","2001","53954.0272571547"
"Switzerland","2000","52374.6978725025"
"Switzerland","1999","53145.7634341711"
"Switzerland","1998","53399.8304989237"
"Switzerland","1997","51792.8988387702"
"Switzerland","1996","53019.4243757845"
